,KEY,ID RESTAURANT,GRADE,CAMIS,DBA,Latitude,Longitude,Cluster,Data Source,PREDICTED_SCORE,Exponential Smoothed Score,Probabilistic risk Score,i1,i2,i3,i4,i5,v1,v2,v3,v4,v5,Number of Inspections,LAST VIOLATIONS,inspection_date_1,inspection_date_2,inspection_date_3,inspection_date_4,inspection_date_5,LAST INSPECTION
20961,50139700-20231122,50139700,A,50139700,ALI ROTI SHOP,40.89426423,-73.85688454,6,Test,12.80490015,12.80490015,14.51675791,12,,,,,"02B,06C",,,,,1,"02B,06C",20231122,,,,,20231122
20962,50139716-20230913,50139716,A,50139716,mukbang,40.76325416,-73.81422372,1,Test,13.17659429,13.17659429,14.93814299,12,,,,,"04J,06C,09B",,,,,1,"04J,06C,09B",20230913,,,,,20230913
20963,50139741-20230920,50139741,A,50139741,ABAYA THAI  CUISINE,40.75379768,-73.99332264,5,Test,7.743023301,7.743023301,8.778170345,7,,,,,"06E,10H",,,,,1,"06E,10H",20230920,,,,,20230920
20964,50139745-20230914,50139745,A,50139745,REAL FRUIT BUBBLE TEA,40.58229742,-74.16905259,5,Test,9.592728591,9.592728591,10.8751585,10,,,,,"04H,10B",,,,,1,"04H,10B",20230914,,,,,20230914
20965,50139758-20231010,50139758,A,50139758,HALAL MUNCHIES,40.74463187,-73.93149254,0,Test,10.18271906,10.22619486,11.59331142,12,,,,,"06F,09C,10F",,,,,1,"06F,09C,10F",20231010,,,,,20231010
20966,50139759-20230816,50139759,A,50139759,TING HUA,40.67993606,-73.99504983,3,Test,12.85563629,12.85563629,14.57427685,12,,,,,"04N,08A,10B",,,,,1,"04N,08A,10B",20230816,,,,,20230816
20967,50139761-20230822,50139761,A,50139761,EASTSIDE STORY,40.72834998,-73.98342485,0,Test,8.171363956,7.955519551,9.019074731,7,,,,,"10F,10G",,,,,1,"10F,10G",20230822,,,,,20230822
20968,50139765-20231116,50139765,A,50139765,BAOZI,40.63876432,-74.00613614,6,Test,14.50638647,14.50638647,16.44571203,13,,,,,"02B,04K",,,,,1,"02B,04K",20231116,,,,,20231116
20969,50139770-20230913,50139770,A,50139770,EL BOCHITO,40.68100278,-73.88128044,0,Test,7.952513218,7.935797959,8.996716605,7,,,,,"06E,10F",,,,,1,"06E,10F",20230913,,,,,20230913
20970,50139790-20230911,50139790,A,50139790,J'S CONFECTIONS,40.76112724,-73.83221364,5,Test,10.04897527,10.04897527,11.39239975,10,,,,,04A,,,,,1,04A,20230911,,,,,20230911
